gtfo_off_title;Disable 'Release Vassal' decisions;Disable 'Release Vassal' decisions;
gtfo_FLA_title;Grant Flanders Independence;Grant Flanders Independence;
gtfo_FLA_desc;We've had a good run, but it's time to end our rulership of Flanders: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Flanders: if you love something, let it go!;
gtfo_FRA_title;Grant France Independence;Grant France Independence;
gtfo_FRA_desc;We've had a good run, but it's time to end our rulership of France: if you love something, let it go!;We've had a good run, but it's time to end our rulership of France: if you love something, let it go!;
gtfo_FUJ_title;Grant Fujan Independence;Grant Fujan Independence;
gtfo_FUJ_desc;We've had a good run, but it's time to end our rulership of Fujan: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Fujan: if you love something, let it go!;
gtfo_FVG_title;Grant Friuli-Venezia Giulia Independence;Grant Friuli-Venezia Giulia Independence;
gtfo_FVG_desc;We've had a good run, but it's time to end our rulership of Friuli-Venezia Giulia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Friuli-Venezia Giulia: if you love something, let it go!;
gtfo_GAB_title;Grant Gabon Independence;Grant Gabon Independence;
gtfo_GAB_desc;We've had a good run, but it's time to end our rulership of Gabon: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Gabon: if you love something, let it go!;
gtfo_GAG_title;Grant Gagauzia Independence;Grant Gagauzia Independence;
gtfo_GAG_desc;We've had a good run, but it's time to end our rulership of Gagauzia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Gagauzia: if you love something, let it go!;
gtfo_GAL_title;Grant Galicia Independence;Grant Galicia Independence;
gtfo_GAL_desc;We've had a good run, but it's time to end our rulership of Galicia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Galicia: if you love something, let it go!;
gtfo_GAM_title;Grant Gambia Independence;Grant Gambia Independence;
gtfo_GAM_desc;We've had a good run, but it's time to end our rulership of Gambia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Gambia: if you love something, let it go!;
gtfo_GAZ_title;Grant Gaza Independence;Grant Gaza Independence;
gtfo_GAZ_desc;We've had a good run, but it's time to end our rulership of Gaza: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Gaza: if you love something, let it go!;
gtfo_GEO_title;Grant Georgia Independence;Grant Georgia Independence;
gtfo_GEO_desc;We've had a good run, but it's time to end our rulership of Georgia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Georgia: if you love something, let it go!;
gtfo_GER_title;Grant Germany Independence;Grant Germany Independence;
gtfo_GER_desc;We've had a good run, but it's time to end our rulership of Germany: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Germany: if you love something, let it go!;
gtfo_GGX_title;Grant Guangxi Independence;Grant Guangxi Independence;
gtfo_GGX_desc;We've had a good run, but it's time to end our rulership of Guangxi: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Guangxi: if you love something, let it go!;
gtfo_GHA_title;Grant Ghana Independence;Grant Ghana Independence;
gtfo_GHA_desc;We've had a good run, but it's time to end our rulership of Ghana: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Ghana: if you love something, let it go!;
gtfo_GIB_title;Grant Gibraltar Independence;Grant Gibraltar Independence;
gtfo_GIB_desc;We've had a good run, but it's time to end our rulership of Gibraltar: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Gibraltar: if you love something, let it go!;
gtfo_GOB_title;Grant Gorno-Badakhshan Independence;Grant Gorno-Badakhshan Independence;
gtfo_GOB_desc;We've had a good run, but it's time to end our rulership of Gorno-Badakhshan: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Gorno-Badakhshan: if you love something, let it go!;
gtfo_GRD_title;Grant Grenada Independence;Grant Grenada Independence;
gtfo_GRD_desc;We've had a good run, but it's time to end our rulership of Grenada: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Grenada: if you love something, let it go!;
gtfo_GRE_title;Grant Greece Independence;Grant Greece Independence;
gtfo_GRE_desc;We've had a good run, but it's time to end our rulership of Greece: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Greece: if you love something, let it go!;
gtfo_GRN_title;Grant Greenland Independence;Grant Greenland Independence;
gtfo_GRN_desc;We've had a good run, but it's time to end our rulership of Greenland: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Greenland: if you love something, let it go!;
gtfo_GUA_title;Grant Guatemala Independence;Grant Guatemala Independence;
gtfo_GUA_desc;We've had a good run, but it's time to end our rulership of Guatemala: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Guatemala: if you love something, let it go!;
gtfo_GUB_title;Grant Guinea Bissau Independence;Grant Guinea Bissau Independence;
gtfo_GUB_desc;We've had a good run, but it's time to end our rulership of Guinea Bissau: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Guinea Bissau: if you love something, let it go!;
gtfo_GUI_title;Grant Guinea Independence;Grant Guinea Independence;
gtfo_GUI_desc;We've had a good run, but it's time to end our rulership of Guinea: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Guinea: if you love something, let it go!;
gtfo_GUY_title;Grant Guyana Independence;Grant Guyana Independence;
gtfo_GUY_desc;We've had a good run, but it's time to end our rulership of Guyana: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Guyana: if you love something, let it go!;
gtfo_GWA_title;Grant Gwalior Independence;Grant Gwalior Independence;
gtfo_GWA_desc;We've had a good run, but it's time to end our rulership of Gwalior: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Gwalior: if you love something, let it go!;
gtfo_GZA_title;Grant Gazankulu Independence;Grant Gazankulu Independence;
gtfo_GZA_desc;We've had a good run, but it's time to end our rulership of Gazankulu: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Gazankulu: if you love something, let it go!;
gtfo_HAI_title;Grant Haiti Independence;Grant Haiti Independence;
gtfo_HAI_desc;We've had a good run, but it's time to end our rulership of Haiti: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Haiti: if you love something, let it go!;
gtfo_HAW_title;Grant Hawaii Independence;Grant Hawaii Independence;
gtfo_HAW_desc;We've had a good run, but it's time to end our rulership of Hawaii: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Hawaii: if you love something, let it go!;
gtfo_HKG_title;Grant HongKong Independence;Grant HongKong Independence;
gtfo_HKG_desc;We've had a good run, but it's time to end our rulership of HongKong: if you love something, let it go!;We've had a good run, but it's time to end our rulership of HongKong: if you love something, let it go!;
gtfo_HNB_title;Grant Bangabhumi Independence;Grant Bangabhumi Independence;
gtfo_HNB_desc;We've had a good run, but it's time to end our rulership of Bangabhumi: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Bangabhumi: if you love something, let it go!;
gtfo_HND_title;Grant India Independence;Grant India Independence;
gtfo_HND_desc;We've had a good run, but it's time to end our rulership of India: if you love something, let it go!;We've had a good run, but it's time to end our rulership of India: if you love something, let it go!;
gtfo_HON_title;Grant Honduras Independence;Grant Honduras Independence;
gtfo_HON_desc;We've had a good run, but it's time to end our rulership of Honduras: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Honduras: if you love something, let it go!;
gtfo_HOU_title;Grant the Supreme Political Council Independence;Grant the Supreme Political Council Independence;
gtfo_HOU_desc;We've had a good run, but it's time to end our rulership of the Supreme Political Council: if you love something, let it go!;We've had a good run, but it's time to end our rulership of the Supreme Political Council: if you love something, let it go!;
gtfo_HUN_title;Grant Hungary Independence;Grant Hungary Independence;
gtfo_HUN_desc;We've had a good run, but it's time to end our rulership of Hungary: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Hungary: if you love something, let it go!;
gtfo_HYD_title;Grant Hyderabad Independence;Grant Hyderabad Independence;
gtfo_HYD_desc;We've had a good run, but it's time to end our rulership of Hyderabad: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Hyderabad: if you love something, let it go!;
gtfo_HZB_title;Grant Herceg-Bosa Independence;Grant Herceg-Bosa Independence;
gtfo_HZB_desc;We've had a good run, but it's time to end our rulership of Herceg-Bosa: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Herceg-Bosa: if you love something, let it go!;
gtfo_IAR_title;Grant International Authority for the Ruhr Independence;Grant International Authority for the Ruhr Independence;
gtfo_IAR_desc;We've had a good run, but it's time to end our rulership of International Authority for the Ruhr: if you love something, let it go!;We've had a good run, but it's time to end our rulership of International Authority for the Ruhr: if you love something, let it go!;
gtfo_ICL_title;Grant Iceland Independence;Grant Iceland Independence;
gtfo_ICL_desc;We've had a good run, but it's time to end our rulership of Iceland: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Iceland: if you love something, let it go!;
gtfo_ICU_title;Grant Indochina Independence;Grant Indochina Independence;
gtfo_ICU_desc;We've had a good run, but it's time to end our rulership of Indochina: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Indochina: if you love something, let it go!;
gtfo_IDO_title;Grant Indonesia Independence;Grant Indonesia Independence;
gtfo_IDO_desc;We've had a good run, but it's time to end our rulership of Indonesia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Indonesia: if you love something, let it go!;
gtfo_IGU_title;Grant Ingushetia Independence;Grant Ingushetia Independence;
gtfo_IGU_desc;We've had a good run, but it's time to end our rulership of Ingushetia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Ingushetia: if you love something, let it go!;
gtfo_IMN_title;Grant Inner Mongolia Independence;Grant Inner Mongolia Independence;
gtfo_IMN_desc;We've had a good run, but it's time to end our rulership of Inner Mongolia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Inner Mongolia: if you love something, let it go!;
gtfo_IND_title;Grant Indore Independence;Grant Indore Independence;
gtfo_IND_desc;We've had a good run, but it's time to end our rulership of Indore: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Indore: if you love something, let it go!;
gtfo_IOM_title;Grant Isle of Man Independence;Grant Isle of Man Independence;
gtfo_IOM_desc;We've had a good run, but it's time to end our rulership of Isle of Man: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Isle of Man: if you love something, let it go!;
gtfo_IRE_title;Grant Ireland Independence;Grant Ireland Independence;
gtfo_IRE_desc;We've had a good run, but it's time to end our rulership of Ireland: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Ireland: if you love something, let it go!;
gtfo_IRQ_title;Grant Iraq Independence;Grant Iraq Independence;
gtfo_IRQ_desc;We've had a good run, but it's time to end our rulership of Iraq: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Iraq: if you love something, let it go!;
gtfo_ISI_title;Grant Islamic State Independence;Grant Islamic State Independence;
gtfo_ISI_desc;We've had a good run, but it's time to end our rulership of Islamic State: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Islamic State: if you love something, let it go!;
gtfo_ISR_title;Grant Israel Independence;Grant Israel Independence;
gtfo_ISR_desc;We've had a good run, but it's time to end our rulership of Israel: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Israel: if you love something, let it go!;
gtfo_ITA_title;Grant Italy Independence;Grant Italy Independence;
gtfo_ITA_desc;We've had a good run, but it's time to end our rulership of Italy: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Italy: if you love something, let it go!;
gtfo_ITU_title;Grant Ituri Independence;Grant Ituri Independence;
gtfo_ITU_desc;We've had a good run, but it's time to end our rulership of Ituri: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Ituri: if you love something, let it go!;
gtfo_IVC_title;Grant Ivory Coast Independence;Grant Ivory Coast Independence;
gtfo_IVC_desc;We've had a good run, but it's time to end our rulership of Ivory Coast: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Ivory Coast: if you love something, let it go!;
gtfo_JAK_title;Grant Jammu and Kashmir Independence;Grant Jammu and Kashmir Independence;
gtfo_JAK_desc;We've had a good run, but it's time to end our rulership of Jammu and Kashmir: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Jammu and Kashmir: if you love something, let it go!;
gtfo_JAM_title;Grant Jamaica Independence;Grant Jamaica Independence;
gtfo_JAM_desc;We've had a good run, but it's time to end our rulership of Jamaica: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Jamaica: if you love something, let it go!;
gtfo_JAP_title;Grant Japan Independence;Grant Japan Independence;
gtfo_JAP_desc;We've had a good run, but it's time to end our rulership of Japan: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Japan: if you love something, let it go!;
gtfo_JDO_title;Grant Jeju-do Independence;Grant Jeju-do Independence;
gtfo_JDO_desc;We've had a good run, but it's time to end our rulership of Jeju-do: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Jeju-do: if you love something, let it go!;
gtfo_JER_title;Grant Jersey Independence;Grant Jersey Independence;
gtfo_JER_desc;We've had a good run, but it's time to end our rulership of Jersey: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Jersey: if you love something, let it go!;
gtfo_JOR_title;Grant Jordan Independence;Grant Jordan Independence;
gtfo_JOR_desc;We've had a good run, but it's time to end our rulership of Jordan: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Jordan: if you love something, let it go!;
gtfo_JVK_title;Grant Javakheti Independence;Grant Javakheti Independence;
gtfo_JVK_desc;We've had a good run, but it's time to end our rulership of Javakheti: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Javakheti: if you love something, let it go!;
gtfo_KAB_title;Grant Kabardino-Balkaria Independence;Grant Kabardino-Balkaria Independence;
gtfo_KAB_desc;We've had a good run, but it's time to end our rulership of Kabardino-Balkaria: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Kabardino-Balkaria: if you love something, let it go!;
gtfo_KAC_title;Grant Kachin Independence;Grant Kachin Independence;
gtfo_KAC_desc;We've had a good run, but it's time to end our rulership of Kachin: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Kachin: if you love something, let it go!;
gtfo_KAM_title;Grant Kalmykia Independence;Grant Kalmykia Independence;
gtfo_KAM_desc;We've had a good run, but it's time to end our rulership of Kalmykia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Kalmykia: if you love something, let it go!;
gtfo_KAT_title;Grant Katanga Independence;Grant Katanga Independence;
gtfo_KAT_desc;We've had a good run, but it's time to end our rulership of Katanga: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Katanga: if you love something, let it go!;
gtfo_KAY_title;Grant Kayin Independence;Grant Kayin Independence;
gtfo_KAY_desc;We've had a good run, but it's time to end our rulership of Kayin: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Kayin: if you love something, let it go!;
gtfo_KAZ_title;Grant Kazakhstan Independence;Grant Kazakhstan Independence;
gtfo_KAZ_desc;We've had a good run, but it's time to end our rulership of Kazakhstan: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Kazakhstan: if you love something, let it go!;
gtfo_KCH_title;Grant Karachay-Cherkessia Independence;Grant Karachay-Cherkessia Independence;
gtfo_KCH_desc;We've had a good run, but it's time to end our rulership of Karachay-Cherkessia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Karachay-Cherkessia: if you love something, let it go!;
gtfo_KEN_title;Grant Kenya Independence;Grant Kenya Independence;
gtfo_KEN_desc;We've had a good run, but it's time to end our rulership of Kenya: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Kenya: if you love something, let it go!;
gtfo_KIR_title;Grant Kiribati Independence;Grant Kiribati Independence;
gtfo_KIR_desc;We've had a good run, but it's time to end our rulership of Kiribati: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Kiribati: if you love something, let it go!;
gtfo_KKP_title;Grant Karakalpakstan Independence;Grant Karakalpakstan Independence;
gtfo_KKP_desc;We've had a good run, but it's time to end our rulership of Karakalpakstan: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Karakalpakstan: if you love something, let it go!;
gtfo_KMT_title;Grant Republic of China Independence;Grant Republic of China Independence;
gtfo_KMT_desc;We've had a good run, but it's time to end our rulership of Republic of China: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Republic of China: if you love something, let it go!;
gtfo_KOM_title;Grant Komi Independence;Grant Komi Independence;
gtfo_KOM_desc;We've had a good run, but it's time to end our rulership of Komi: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Komi: if you love something, let it go!;
gtfo_KOR_title;Grant Korea Independence;Grant Korea Independence;
gtfo_KOR_desc;We've had a good run, but it's time to end our rulership of Korea: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Korea: if you love something, let it go!;
gtfo_KOS_title;Grant Kosovo Independence;Grant Kosovo Independence;
gtfo_KOS_desc;We've had a good run, but it's time to end our rulership of Kosovo: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Kosovo: if you love something, let it go!;
gtfo_KRL_title;Grant Karelia Independence;Grant Karelia Independence;
gtfo_KRL_desc;We've had a good run, but it's time to end our rulership of Karelia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Karelia: if you love something, let it go!;
gtfo_KUR_title;Grant Kurdistan Independence;Grant Kurdistan Independence;
gtfo_KUR_desc;We've had a good run, but it's time to end our rulership of Kurdistan: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Kurdistan: if you love something, let it go!;
gtfo_KUW_title;Grant Kuwait Independence;Grant Kuwait Independence;
gtfo_KUW_desc;We've had a good run, but it's time to end our rulership of Kuwait: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Kuwait: if you love something, let it go!;
gtfo_KWA_title;Grant Guangdong Independence;Grant Guangdong Independence;
gtfo_KWA_desc;We've had a good run, but it's time to end our rulership of Guangdong: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Guangdong: if you love something, let it go!;
gtfo_KYR_title;Grant Kyrgyzstan Independence;Grant Kyrgyzstan Independence;
gtfo_KYR_desc;We've had a good run, but it's time to end our rulership of Kyrgyzstan: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Kyrgyzstan: if you love something, let it go!;
gtfo_LAT_title;Grant Latvia Independence;Grant Latvia Independence;
gtfo_LAT_desc;We've had a good run, but it's time to end our rulership of Latvia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Latvia: if you love something, let it go!;
gtfo_LBW_title;Grant Lebowa Independence;Grant Lebowa Independence;
gtfo_LBW_desc;We've had a good run, but it's time to end our rulership of Lebowa: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Lebowa: if you love something, let it go!;
gtfo_LEB_title;Grant Lebanon Independence;Grant Lebanon Independence;
gtfo_LEB_desc;We've had a good run, but it's time to end our rulership of Lebanon: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Lebanon: if you love something, let it go!;
gtfo_LES_title;Grant Lesotho Independence;Grant Lesotho Independence;
gtfo_LES_desc;We've had a good run, but it's time to end our rulership of Lesotho: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Lesotho: if you love something, let it go!;
gtfo_LIB_title;Grant Liberia Independence;Grant Liberia Independence;
gtfo_LIB_desc;We've had a good run, but it's time to end our rulership of Liberia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Liberia: if you love something, let it go!;
gtfo_LIT_title;Grant Lithuania Independence;Grant Lithuania Independence;
gtfo_LIT_desc;We've had a good run, but it's time to end our rulership of Lithuania: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Lithuania: if you love something, let it go!;
gtfo_LAO_title;Grant Luang Prabang Independence;Grant Luang Prabang Independence;
gtfo_LAO_desc;We've had a good run, but it's time to end our rulership of Luang Prabang: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Luang Prabang: if you love something, let it go!;
gtfo_LUX_title;Grant Luxemburg Independence;Grant Luxemburg Independence;
gtfo_LUX_desc;We've had a good run, but it's time to end our rulership of Luxemburg: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Luxemburg: if you love something, let it go!;
gtfo_MAC_title;Grant Macedonia Independence;Grant Macedonia Independence;
gtfo_MAC_desc;We've had a good run, but it's time to end our rulership of Macedonia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Macedonia: if you love something, let it go!;
gtfo_MAD_title;Grant Madagascar Independence;Grant Madagascar Independence;
gtfo_MAD_desc;We've had a good run, but it's time to end our rulership of Madagascar: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Madagascar: if you love something, let it go!;
gtfo_MAE_title;Grant Madeira Independence;Grant Madeira Independence;
gtfo_MAE_desc;We've had a good run, but it's time to end our rulership of Madeira: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Madeira: if you love something, let it go!;
gtfo_MEL_title;Grant Media Luna Independence;Grant Media Luna Independence;
gtfo_MEL_desc;We've had a good run, but it's time to end our rulership of Media Luna: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Media Luna: if you love something, let it go!;
gtfo_MAL_title;Grant Malta Independence;Grant Malta Independence;
gtfo_MAL_desc;We've had a good run, but it's time to end our rulership of Malta: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Malta: if you love something, let it go!;
gtfo_MAR_title;Grant Marshall Islands Independence;Grant Marshall Islands Independence;
gtfo_MAR_desc;We've had a good run, but it's time to end our rulership of Marshall Islands: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Marshall Islands: if you love something, let it go!;
gtfo_MAT_title;Grant Mthwakazi Independence;Grant Mthwakazi Independence;
gtfo_MAT_desc;We've had a good run, but it's time to end our rulership of Mthwakazi: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Mthwakazi: if you love something, let it go!;
gtfo_MAU_title;Grant Mauritania Independence;Grant Mauritania Independence;
gtfo_MAU_desc;We've had a good run, but it's time to end our rulership of Mauritania: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Mauritania: if you love something, let it go!;
gtfo_MCA_title;Grant Macau Independence;Grant Macau Independence;
gtfo_MCA_desc;We've had a good run, but it's time to end our rulership of Macau: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Macau: if you love something, let it go!;
gtfo_MCK_title;Grant Manchukuo Independence;Grant Manchukuo Independence;
gtfo_MCK_desc;We've had a good run, but it's time to end our rulership of Manchukuo: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Manchukuo: if you love something, let it go!;
gtfo_MGA_title;Grant Meghalaya Independence;Grant Meghalaya Independence;
gtfo_MGA_desc;We've had a good run, but it's time to end our rulership of Meghalaya: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Meghalaya: if you love something, let it go!;
gtfo_MEX_title;Grant Mexico Independence;Grant Mexico Independence;
gtfo_MEX_desc;We've had a good run, but it's time to end our rulership of Mexico: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Mexico: if you love something, let it go!;
gtfo_MGL_title;Grant Mongolia Independence;Grant Mongolia Independence;
gtfo_MGL_desc;We've had a good run, but it's time to end our rulership of Mongolia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Mongolia: if you love something, let it go!;
gtfo_MGY_title;Grant Magyar Region Independence;Grant Magyar Region Independence;
gtfo_MGY_desc;We've had a good run, but it's time to end our rulership of Magyar Region: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Magyar Region: if you love something, let it go!;
gtfo_MIC_title;Grant Micronesia Independence;Grant Micronesia Independence;
gtfo_MIC_desc;We've had a good run, but it's time to end our rulership of Micronesia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Micronesia: if you love something, let it go!;
gtfo_MIN_title;Grant Mindanao Independence;Grant Mindanao Independence;
gtfo_MIN_desc;We've had a good run, but it's time to end our rulership of Mindanao: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Mindanao: if you love something, let it go!;
gtfo_MIZ_title;Grant Mizoram Independence;Grant Mizoram Independence;
gtfo_MIZ_desc;We've had a good run, but it's time to end our rulership of Mizoram: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Mizoram: if you love something, let it go!;
gtfo_MLD_title;Grant Maldives Independence;Grant Maldives Independence;
gtfo_MLD_desc;We've had a good run, but it's time to end our rulership of Maldives: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Maldives: if you love something, let it go!;
gtfo_MLI_title;Grant Mali Independence;Grant Mali Independence;
gtfo_MLI_desc;We've had a good run, but it's time to end our rulership of Mali: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Mali: if you love something, let it go!;
gtfo_MLW_title;Grant Malawa Independence;Grant Malawa Independence;
gtfo_MLW_desc;We've had a good run, but it's time to end our rulership of Malawa: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Malawa: if you love something, let it go!;
gtfo_MNP_title;Grant Manipur Independence;Grant Manipur Independence;
gtfo_MNP_desc;We've had a good run, but it's time to end our rulership of Manipur: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Manipur: if you love something, let it go!;
gtfo_MDA_title;Grant Moldavia Independence;Grant Moldavia Independence;
gtfo_MDA_desc;We've had a good run, but it's time to end our rulership of Moldavia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Moldavia: if you love something, let it go!;
gtfo_MON_title;Grant Montenegro Independence;Grant Montenegro Independence;
gtfo_MON_desc;We've had a good run, but it's time to end our rulership of Montenegro: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Montenegro: if you love something, let it go!;
gtfo_MOR_title;Grant Morocco Independence;Grant Morocco Independence;
gtfo_MOR_desc;We've had a good run, but it's time to end our rulership of Morocco: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Morocco: if you love something, let it go!;
gtfo_MOS_title;Grant Mon State Independence;Grant Mon State Independence;
gtfo_MOS_desc;We've had a good run, but it's time to end our rulership of Mon State: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Mon State: if you love something, let it go!;
gtfo_MOZ_title;Grant Mozambique Independence;Grant Mozambique Independence;
gtfo_MOZ_desc;We've had a good run, but it's time to end our rulership of Mozambique: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Mozambique: if you love something, let it go!;
gtfo_MRD_title;Grant Mordovia Independence;Grant Mordovia Independence;
gtfo_MRD_desc;We've had a good run, but it's time to end our rulership of Mordovia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Mordovia: if you love something, let it go!;
gtfo_MRI_title;Grant Mari El Independence;Grant Mari El Independence;
gtfo_MRI_desc;We've had a good run, but it's time to end our rulership of Mari El: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Mari El: if you love something, let it go!;
gtfo_MRT_title;Grant Mauritius Independence;Grant Mauritius Independence;
gtfo_MRT_desc;We've had a good run, but it's time to end our rulership of Mauritius: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Mauritius: if you love something, let it go!;
gtfo_MSU_title;Grant Mosul Independence;Grant Mosul Independence;
gtfo_MSU_desc;We've had a good run, but it's time to end our rulership of Mosul: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Mosul: if you love something, let it go!;
gtfo_MSY_title;Grant Malaysia Independence;Grant Malaysia Independence;
gtfo_MSY_desc;We've had a good run, but it's time to end our rulership of Malaysia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Malaysia: if you love something, let it go!;
gtfo_MYS_title;Grant Mysore Independence;Grant Mysore Independence;
gtfo_MYS_desc;We've had a good run, but it's time to end our rulership of Mysore: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Mysore: if you love something, let it go!;
gtfo_NAG_title;Grant Nagpur Independence;Grant Nagpur Independence;
gtfo_NAG_desc;We've had a good run, but it's time to end our rulership of Nagpur: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Nagpur: if you love something, let it go!;
gtfo_NAK_title;Grant Nagorno-Karabakh Independence;Grant Nagorno-Karabakh Independence;
gtfo_NAK_desc;We've had a good run, but it's time to end our rulership of Nagorno-Karabakh: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Nagorno-Karabakh: if you love something, let it go!;
gtfo_NAM_title;Grant Namibia Independence;Grant Namibia Independence;
gtfo_NAM_desc;We've had a good run, but it's time to end our rulership of Namibia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Namibia: if you love something, let it go!;
gtfo_NAU_title;Grant Nauru Independence;Grant Nauru Independence;
